document,TTR,CTTR,K,TARGET,n,cat,TARGET_pol
text17,0.19903932752927,8.12290201073195,102.351742286848,inconsistent,3331,epistemic,negative
text13,0.166244725738397,7.00894545960348,153.665624177828,illogical,3555,epistemic,negative
text16,0.111519134132199,5.67214864025437,170.691553572328,inappropriate,5174,epistemic,negative
text5,0.168011587006,8.25909827550418,113.376255876548,consistent,4833,epistemic,positive
text25,0.10699865410498,5.83314426406407,122.07193111481,reasonable,5944,epistemic,positive
text23,0.106847855049294,6.54568482855437,212.791841311568,logical,7506,epistemic,positive
text28,0.167408726625111,5.61006600723387,225.365525652015,unjust,2246,legal,negative
text29,0.292817679558011,4.82483217582352,278.820684485957,unlawful,543,legal,negative
text11,0.162393162393162,5.95675297313108,351.854820857778,illegal,2691,legal,negative
text22,0.165345722875102,7.07227552982196,124.409548918192,legitimate,3659,legal,positive
text21,0.0932651943785362,4.881522013032,310.653686056313,legal,5479,legal,positive
text20,0.159274193548387,3.5472047150288,542.342774453694,lawful,992,legal,positive
text27,0.116841543659968,6.19535689789535,111.657144545144,unfair,5623,tc,negative
text8,0.131141045958796,6.58845097214522,125.359936056018,dishonest,5048,tc,negative
text14,0.523316062176166,5.1407646454488,373.969771000564,improper,193,tc,negative
text24,0.157772621809745,7.32411710824678,95.5130517169912,proper,4310,tc,positive
text3,0.162781509284868,5.79076773085251,156.106164242961,careful,2531,tc,positive
text10,0.10228705204394,5.38976092053061,424.035250704789,honest,5553,tc,positive
