cat,TARGET,TARGET_pol,25%,50%,75%,mean,n,TTR,CTTR,K
Descriptive,active,neutral,-0.09825,0.07721,0.26851,0.0680110443037975,948,0.213080168776371,4.63908364296372,343.828446296
Descriptive,ambiguous,neutral,-0.34791,-0.17914,-0.025825,-0.193265431472081,1182,0.161590524534687,3.92834508324595,638.526000555427
Descriptive,complex,neutral,-0.16389,0,0.157575,-0.0132672569089048,1954,0.136131013306039,4.25504697620404,292.631234881287
Descriptive,explicit,neutral,0.03032,0.20878,0.23037,0.134055840255591,1565,0.113738019169329,3.18161652404407,982.625116108157
Descriptive,limited,neutral,-0.01106,0.08416,0.23289,0.0887535909393738,1501,0.192538307794803,5.27463605155361,375.769917545531
Descriptive,practical,neutral,0.008025,0.191925,0.2925,0.180698520179372,1338,0.12780269058296,3.30562097719068,444.006515312996
Epistemic,illogical,negative,-0.4988,-0.38762,-0.19821,-0.326746523994812,3855,0.162386511024643,7.12930417016369,143.740421673471
Epistemic,inappropriate,negative,-0.56919,-0.45493,-0.27441,-0.385883445869177,6161,0.108910891089109,6.04479974526833,152.696719085326
Epistemic,inconsistent,negative,-0.454455,-0.3383,-0.04819,-0.256120930472457,4847,0.162162162162162,7.9830902368525,100.21065908315
Epistemic,consistent,positive,0.06251,0.23685,0.49673,0.264898246660983,7038,0.128019323671498,7.59425475698634,117.416426768145
Epistemic,logical,positive,0.1706,0.26717,0.41095,0.279311631853786,8426,0.0992167101827676,6.43992118402057,201.46378161387
Epistemic,reasonable,positive,0.05761,0.17964,0.35327,0.219016925207756,15523,0.05069896282935,4.46654697426874,260.493155377053
Legal,illegal,negative,-0.54799,-0.4196,-0.11238,-0.34446297550234,3633,0.15028901734104,6.40538068611882,269.847255284218
Legal,unjust,negative,-0.54799,-0.42036,-0.26536,-0.366690441125391,2879,0.145883987495658,5.53494691700726,234.546290519761
Legal,unlawful,negative,-0.42036,-0.17327,0.10554,-0.152186851851852,1566,0.169859514687101,4.75303223778089,235.218703972833
Legal,lawful,positive,-0.08177,0.19025,0.49764,0.164159311359623,1699,0.142436727486757,4.15148696564226,427.350368131931
Legal,legal,positive,0.00981,0.22393,0.22393,0.182818067910762,14254,0.0437771853514803,3.69573833349465,1189.77500332765
Legal,legitimate,positive,0,0.24212,0.41273,0.202655150634654,6539,0.10337972166998,5.91120511608701,252.861178243279
TC,dishonest,negative,-0.54799,-0.45493,-0.34088,-0.39742015367103,5271,0.12919749573136,6.63262748060889,122.174571537053
TC,improper,negative,-0.44052,-0.42034,-0.1215,-0.300373719832109,1906,0.174186778593914,5.37726745165142,521.609012903418
TC,unfair,negative,-0.51014,-0.38762,-0.26536,-0.355050761454641,7617,0.0964946829460417,5.95498077097402,175.563946300131
TC,careful,positive,0.05987,0.29235,0.4577875,0.259342016666667,4200,0.115714285714286,5.30269473273462,211.824263038549
TC,honest,positive,0.20878,0.3242,0.50958,0.323870384963768,6624,0.0905797101449275,5.21286035142687,356.661711037597
TC,proper,positive,0.06251,0.21734,0.44621,0.234542375697615,7884,0.095763571790969,6.01254923897433,424.463961330721
