document,TTR,CTTR,K,TARGET,n,cat,TARGET_pol,TARGET_pol_new
text8,0.136131013306039,4.25504697620404,292.631234881287,complex,1954,descriptive,neutral,negative
text2,0.213080168776371,4.63908364296372,343.828446296,active,948,descriptive,neutral,positive
text35,0.192538307794803,5.27463605155361,375.769917545531,limited,1501,descriptive,neutral,negative
text40,0.12780269058296,3.30562097719068,444.006515312996,practical,1338,descriptive,neutral,positive
text3,0.161590524534687,3.92834508324595,638.526000555427,ambiguous,1182,descriptive,neutral,positive
text15,0.113738019169329,3.18161652404407,982.625116108157,explicit,1565,descriptive,neutral,negative
text26,0.174802110817942,4.81261671893548,215.406812818067,inconsistent,1516,epistemic,negative,negative
text22,0.363333333333333,4.44990636605611,308.444444444444,illogical,300,epistemic,negative,negative
text25,0.253292806484296,5.6268642075793,311.783684350457,inappropriate,987,epistemic,negative,negative
text36,0.164130434782609,3.52020565110718,308.341209829868,logical,920,epistemic,positive,positive
text9,0.132426303854875,4.39707179413889,393.011142476643,consistent,2205,epistemic,positive,positive
text45,0.0415492222570206,2.87546435017844,526.445536870491,reasonable,9579,epistemic,positive,positive
text20,0.213375796178344,4.63079555972012,305.849685134849,illegal,942,legal,negative,negative
text56,0.162267839687195,3.66990881276867,367.127905676766,unlawful,1023,legal,negative,negative
text55,0.165876777251185,2.95102199342655,1410.44550761314,unjust,633,legal,negative,negative
text32,0.183875530410184,3.45715337765942,673.18330135701,lawful,707,legal,positive,positive
text34,0.0756944444444444,2.87240220798628,905.656828703704,legitimate,2880,legal,positive,positive
text33,0.0315669515669516,2.09093825638702,2926.10339201792,legal,8775,legal,positive,positive
text23,0.166958552247519,4.88621253850006,631.723549424084,improper,1713,tc,negative,negative
text13,0.269058295964126,2.84108234286227,914.757988296567,dishonest,223,tc,negative,negative
text54,0.115346038114343,3.64208654251233,1266.96035951385,unfair,1994,tc,negative,negative
text18,0.11484593837535,2.65763526656387,558.593807893528,honest,1071,tc,positive,positive
text5,0.111443978430198,3.21936173705416,732.574156516407,careful,1669,tc,positive,positive
text43,0.0657526580861779,2.77955703757378,1708.04250933732,proper,3574,tc,positive,positive
